1, 0
10000000, 0
20000000, 0
30000000, 0.01
40000000, 0
50000000, 0.01
60000000, 0
70000000, 0.01
80000000, 0.01
90000000, 0.01
100000000, 0.01
110000000, 0.02
120000000, 0.01
130000000, 0.02
140000000, 0.02
150000000, 0.02
160000000, 0.02
170000000, 0.02
180000000, 0.02
190000000, 0.02
200000000, 0.02
210000000, 0.03
220000000, 0.02
230000000, 0.03
240000000, 0.03
250000000, 0.02
260000000, 0.03
270000000, 0.04
280000000, 0.06
290000000, 0.07
300000000, 0.04
310000000, 0.04
320000000, 0.04
330000000, 0.03
340000000, 0.04
350000000, 0.04
360000000, 0.05
370000000, 0.04
380000000, 0.04
390000000, 0.05
400000000, 0.05
410000000, 0.04
420000000, 0.05
430000000, 0.05
440000000, 0.08
450000000, 0.05
460000000, 0.05
470000000, 0.06
480000000, 0.05
490000000, 0.06
500000000, 0.06
510000000, 0.05
520000000, 0.06
530000000, 0.07
540000000, 0.06
550000000, 0.06
560000000, 0.07
570000000, 0.06
580000000, 0.07
590000000, 0.07
600000000, 0.07
610000000, 0.07
620000000, 0.07
630000000, 0.07
640000000, 0.08
650000000, 0.07
660000000, 0.08
670000000, 0.08
680000000, 0.07
690000000, 0.08
700000000, 0.08
710000000, 0.09
720000000, 0.09
730000000, 0.08
740000000, 0.09
750000000, 0.08
760000000, 0.09
770000000, 0.09
780000000, 0.09
790000000, 0.09
800000000, 0.09
810000000, 0.1
820000000, 0.09
830000000, 0.1
840000000, 0.1
850000000, 0.09
860000000, 0.1
870000000, 0.11
880000000, 0.1
890000000, 0.1
900000000, 0.1
910000000, 0.11
920000000, 0.1
930000000, 0.11
940000000, 0.11
950000000, 0.11
960000000, 0.11
970000000, 0.11
980000000, 0.12
990000000, 0.12
